#,App name,Category,Distance value,Predict,Risk
327,fun house maps for minecraft,Entertainment,0.06490842490842488,0,0
328,sleep talk recorder,Entertainment,0.0703363914373089,0,0
329,hd stickers packs for whatsapp - wastickersapps,Entertainment,0.057665732959850564,0,0
330,tv time - track shows & movies,Entertainment,0.0645087037836282,0,0
331,horoscope du jour - tarot gratuit,Entertainment,0.06605013385251883,0,0
332,cat alone - cat toy,Entertainment,0.06840422916154415,0,0
333,cine vision plus,Entertainment,0.06843005358568009,0,0
334,mega filme - filmes online,Entertainment,0.06622162883845119,0,0
335,telecine: seus filmes favoritos em streaming,Entertainment,0.06263008514664134,0,0
336,bbb 21 ao vivo,Entertainment,0.0628952804703639,0,0
337,brasil tv ao vivo no celular,Entertainment,0.06731016731016728,0,0
338,megafilmeshd50 - filmes/séries/animes/desenhos,Entertainment,0.0800262524611682,0,0
339,cinecalidad - lo mejor del cine -,Entertainment,0.06442665463975646,0,0
340,"smartflix filmes, séries",Entertainment,0.06622162883845119,0,0
341,play cine v4 hd,Entertainment,0.08161209068010063,0,0
342,animetv!!,Entertainment,0.06515930113052415,0,0
343,"pobreflix - online movies, series and anime guide",Entertainment,0.06606875934230196,0,0
344,animekey - assistir animes gratuitamente,Entertainment,0.07189898489725173,0,0
345,filmes online grátis - cine filmes play,Entertainment,0.06633196409554233,0,0
346,booyah!,Entertainment,0.06969170646982188,0,0
347,canaisdobrasil - tv online,Entertainment,0.06208718626155878,0,0
348,fut 3.0 futebol ao vivo,Entertainment,0.0628952804703639,0,0
349,vix - cine. tv. gratis.,Entertainment,0.07256720272332429,0,0
350,goplay,Entertainment,0.0661631419939577,0,0
351,fut 3.0 futebol ao vivo,Entertainment,0.0628952804703639,0,0
352,maxtv - tv online grátis,Entertainment,0.06780684104627765,0,0
353,princess baby shower party,Entertainment,0.061612730198462376,0,0
354,4shared,Entertainment,0.059523809523809514,0,0
355,seriesflix : series tv gratis,Entertainment,0.06977630910015252,0,0
356,the voice - sing karaoke,Entertainment,0.060851169736187156,0,0
357,assista tv aberta no celular,Entertainment,0.0686254643701452,0,0
358,"9uhd, filmes, séries online +",Entertainment,0.06258032624814629,0,0
359,xc player plus,Entertainment,0.06887508626639062,0,0
360,canais globo (globosat play),Entertainment,0.06340070800502454,0,0
361,"good morning, wishes and happy birthday gif images",Entertainment,0.06208516287143878,0,0
362,guide and free diamonds for free,Entertainment,0.06813186813186815,0,0
363,ستارزبلاي starzplay,Entertainment,0.06456569865867948,0,0
364,assistir tv ao vivo,Entertainment,0.0686254643701452,0,0
365,tv gratis para celular online guia,Entertainment,0.06240508564365176,0,0
366,redecanais v2,Entertainment,0.0800262524611682,0,0
367,animesflix - animes online,Entertainment,0.06552113382666495,0,0
368,tips: toca life world town city 2020,Entertainment,0.06391257995735605,0,0
369,blizzard authenticator,Entertainment,0.0559347629115071,0,0
370,assistir tvplay,Entertainment,0.08311688311688306,0,0
371,decorations and furniture mod for minecraft pe,Entertainment,0.06927536231884056,0,0
372,guide for scary teacher 2020,Entertainment,0.07326169405815422,0,0
373,narrator's voice,Entertainment,0.06506758547574874,0,0
374,mod ben alien for minecraft pe,Entertainment,0.06681746998433963,0,0
375,chamada luccas neto video & voice,Entertainment,0.06046308431629533,0,0
376,tv online 3.0 grátis assistir tv canais do brasil,Entertainment,0.06287625418060201,0,0
377,4d wallpaper 2020,Entertainment,0.05934065934065934,0,0
378,gb wmassap offline,Entertainment,0.06547858580051734,0,0
379,yalla - free voice chat rooms,Entertainment,0.05955007880785213,0,0
380,globoplay,Entertainment,0.06358276643990926,0,0
381,mods for minecraft - popular mod | addons for mcpe,Entertainment,0.06555153707052438,0,0
382,xciptv player pro,Entertainment,0.08161209068010063,0,0
383,tv do brasil ao vivo,Entertainment,0.06287625418060201,0,0
384,grand san andreas codes,Entertainment,0.06726883765153313,0,0
385,"noxlucky - hd live wallpaper, caller show, 4d, 4k",Entertainment,0.06289083061374881,0,0
386,shader texture minecraft,Entertainment,0.06778356350464113,0,0
387,canalonline - player para assistir tv aberta,Entertainment,0.06266061980347694,0,0
388,oi play,Entertainment,0.06969397828232962,0,0
389,mod furniture. furniture mods for minecraft pe,Entertainment,0.056140350877192984,0,0
390,guide for free╦̵̵̿╤──fire unofficial tips,Entertainment,0.06267677802828449,0,0
391,free robux counter - free rbx calc 2020,Entertainment,0.07444668008048286,0,0
392,superflix,Entertainment,0.060811159907000756,0,0
393,superflix,Entertainment,0.06079192546583849,0,0
394,tv en vivo gratis,Entertainment,0.06525096525096523,0,0
395,canaisdatv - player online,Entertainment,0.06774150918461734,0,0
396,directv,Entertainment,0.08130685458039713,0,0
397,"ifunny – fresh memes, gifs and videos",Entertainment,0.06914285714285713,0,0
398,gt sa gangster cheats,Entertainment,0.06263997285374955,0,0
399,tv aberta brasil,Entertainment,0.05938117182356813,0,0
400,master mods for minecraft pe - addons for mcpe,Entertainment,0.06336898395721922,0,0
401,spin reward - spin and coin,Entertainment,0.06745702430349729,0,0
402,cat dog talking,Entertainment,0.059043778801843215,0,0
403,enaldinho jogo - chamada falsa,Entertainment,0.060648553900087644,0,0
404,symbols creator - nickname generator for ff,Entertainment,0.06115779645191409,0,0
405,diamantes gratis real 2021 💎,Entertainment,0.06238938053097345,0,0
406,upflix - all netflix updates,Entertainment,0.06592292089249492,0,0
407,the magic shell,Entertainment,0.06984126984126986,0,0
408,gshow,Entertainment,0.06106594399277326,0,0
409,marcador de truco,Entertainment,0.06833013435700572,0,0
410,tv no celular,Entertainment,0.06642402183803457,0,0
411,dudu moura best fake video call,Entertainment,0.06483288967761017,0,0
412,lotto spot!,Entertainment,0.06566250882560601,0,0
413,canada lottery results,Entertainment,0.07495621716287204,0,0
414,"hotstar - live cricket, movies, tv shows",Entertainment,0.05942185438407101,0,0
415,hd movies free 2021 - hd movies 2021,Entertainment,0.06620126000340538,0,0
416,"likewise: movie, tv, book recommendations",Entertainment,0.07578206465067774,0,0
417,netmovies,Entertainment,0.07156016961544076,0,0
418,global tv,Entertainment,0.06706991638498487,0,0
419,ignite tv,Entertainment,0.06545454545454539,0,0
420,epix now: watch tv and movies,Entertainment,0.06665003119151588,0,0
421,"broken screen prank: crack, fire & electric prank",Entertainment,0.06643334393891187,0,0
422,cineplex mobile,Entertainment,0.072809887313704,0,0
423,résultats loto quebec et vérification des billets,Entertainment,0.06988249845392694,0,0
424,"fubotv: watch live sports, tv shows, movies & news",Entertainment,0.072043611965334,0,0
425,o2 tv,Entertainment,0.06992564467647515,0,0
